Time,TetR_1_2,TetR_1_20,TetR_1_200,TetR_2_2,TetR_2_20,TetR_2_200
0,585.22055,828.8984,806.1109167,461.7181,731.00625,691.2261167
10,558.7655333,1129.2475,1079.20445,314.3039167,824.6343333,872.6927333
20,383.9327833,1460.537983,1294.763367,244.1957,761.4097167,864.91295
30,346.71315,1687.109,1664.083333,222.8242167,655.9446167,986.8921167
40,312.1382333,1706.131333,2136.105,165.0166667,528.30045,1115.523983
50,297.25725,1508.062833,2591.839167,101.400345,403.1272833,1333.234867
60,263.5233,1373.343517,3068.3705,100.8438683,335.77105,1578.606833
70,293.5742,1176.789517,3585.333667,80.50712667,284.54805,2006.504667
80,254.4429,1055.514633,4077.174,94.27484333,250.4819167,2505.377
90,202.7816333,945.8369,4632.7315,81.17473833,222.6451333,2986.351333
100,231.62075,853.8156333,5236.485,75.64745167,206.0983833,3413.933167
110,226.6466667,795.0821333,5730.789833,80.92936167,201.3147333,3931.871333
120,211.5590833,696.4278833,6076.573667,95.26901667,210.58335,4536.939167
130,195.4275983,636.8136167,6473.295333,91.75290833,197.9202,4883.181333
140,195.772855,619.0349167,6771.573667,114.098385,196.2468833,4803.592
150,191.6760433,592.0682333,6935.703167,109.0509983,196.3505,4571.0055
160,186.092625,533.84975,6825.365833,132.264455,194.8020333,4296.824
170,195.2836917,502.1558,6429.792333,116.74921,192.6170167,4054.718667
180,191.8859683,477.2711667,6051.843833,111.1347183,178.4450333,3792.699667
190,191.9523283,454.8771167,5698.685667,125.0275033,175.9544,3577.746333
200,179.30016,435.8262167,5383.463833,120.2793833,177.5432333,3367.4755
210,178.53555,414.1076,5052.706833,119.4838933,173.6944,3173.970667
220,175.4044233,389.13925,4754.1715,129.0606533,170.5086167,2987.481833
230,164.6258983,374.4712333,4467.503333,122.581525,172.1854,2846.412
240,156.152125,353.3124167,4211.6785,119.9962383,157.8584817,2716.843667
250,160.8371317,336.0154167,3962.941833,107.1170917,155.4321233,2591.342
260,164.6882883,323.1542,3737.293167,110.8245183,151.8491233,2474.253
270,148.7570733,319.46715,3532.786,111.4920117,156.9705333,2385.013167
280,148.3067033,301.76945,3338.646667,112.7584283,144.9180817,2313.400167
290,139.49892,282.7303333,3181.615833,118.17003,146.5602567,2231.004333
300,141.7332667,272.6841167,3014.3975,118.6986617,145.1765433,2170.810167
310,135.4451533,273.8567,2880.467833,115.621015,142.0916,2114.701833
320,127.9433417,264.6927333,2752.0355,112.2593233,137.3278067,2065.832333
330,135.667215,251.2611,2641.208167,113.4465467,138.7614933,2005.748167
340,130.5857633,251.6983,2546.580333,107.8221567,138.3648017,1960.779
350,130.8028633,242.6509667,2463.107167,115.090795,131.09418,1909.6995
360,132.76152,241.2415167,2393.390333,103.1805167,135.8915067,1871.006667
370,130.3210017,233.64455,2330.510333,108.9809517,135.684015,1836.303667
380,125.8645883,240.6609,2282.441833,105.54262,128.4985367,1804.078833
390,127.7272933,227.57935,2242.997333,106.3458567,137.0801917,1776.964667
400,129.1280233,230.8229667,2195.277167,113.6724767,138.7437,1751.170833
410,121.4109467,236.6798333,2149.712667,111.2813033,139.48785,1731.667
420,128.4223533,230.9169,2119.039333,109.283875,134.0297833,1702.086667
430,130.0103417,227.1628333,2090.060167,116.834805,135.3520333,1686.562
